Time,step,pos_x,pos_y,angle,action,reward,episode_reward
2019年11月17日13:48:09,10,46.833333333333300,60.166666666666700,51,1,100.73362253688000,-351.67900077996200
2019年11月17日13:48:14,11,46.166666666666700,66.16666666666670,51,2,-20.598656000660200,-372.27765678062200
2019年11月17日13:48:22,12,56.666666666666700,68.33333333333330,34,4,94.93750208991570,-277.34015469070600
2019年11月17日13:48:29,13,53.5,70.33333333333330,47,4,-10.0,-287.34015469070600
2019年11月17日13:48:35,14,53.5,70.33333333333330,54,4,-10.0,-297.34015469070600
2019年11月17日13:48:42,15,11.333333333333300,84.33333333333330,49,4,-163.52353132727600,-460.8636860179820
2019年11月17日13:48:47,16,14.0,78.16666666666670,49,1,24.91067532482870,-435.95301069315400
2019年11月17日13:48:53,17,13.930302937825500,85.5787862141927,38,1,-25.727433580812500,-461.6804442739660
2019年11月17日13:49:00,18,12.620849609375,85.6819356282552,45,0,-29.377747634962600,-491.05819190892900
2019年11月17日13:49:05,19,9.20109748840332,85.48145548502610,37,1,-31.816735939045200,-522.8749278479740
2019年11月17日13:49:12,20,40.16666666666670,85.33333333333330,62,3,281.69347629693800,-241.18145155103500
2019年11月17日13:49:20,21,45.7214101155599,84.02797953287760,52,0,146.77160667293800,-94.40984487809770
2019年11月17日13:49:26,22,51.333333333333300,84.33333333333330,55,3,63.84964197898460,-30.560202899113200
2019年11月17日13:49:33,23,55.5,85.5,34,3,59.41219305974360,28.851990160630400
2019年11月17日13:49:39,24,53.666666666666700,85.0,26,3,-98.91550657810110,-70.06351641747070
2019年11月17日13:49:47,25,52.333333333333300,43.166666666666700,25,0,-23.930611709350800,-93.99412812682160
2019年11月17日13:49:55,26,51.4693857828776,45.63945515950520,27,0,-10.0,-103.99412812682200
2019年11月17日13:50:00,27,28.33813985188800,4.333333333333330,51,1,-276.72561825779000,-380.7197463846110
2019年11月17日13:50:05,28,33.833333333333300,3.3333333333333300,59,1,42.31392391249020,-338.40582247212100
2019年11月17日13:50:11,29,42.11904652913410,3.5,59,2,77.40604565741900,-260.9997768147020
2019年11月17日13:50:16,30,39.333333333333300,3.0,32,2,-38.300717231220700,-299.30049404592300
2019年11月17日13:50:22,31,41.166666666666700,3.1666666666666700,57,2,-10.0,-309.30049404592300
2019年11月17日13:50:27,32,27.5,14.5,57,2,-126.96008752133300,-436.2605815672560
2019年11月17日13:50:33,33,33.21276601155600,21.5,48,1,33.30185281117310,-402.9587287560820
2019年11月17日13:50:38,34,35.226409912109400,20.354718526204400,51,2,-10.0,-412.9587287560820
2019年11月17日13:50:43,35,26.346405029296900,22.833333333333300,45,1,-10.0,-422.9587287560820
2019年11月17日13:50:51,36,26.346405029296900,22.833333333333300,51,0,-10.0,-432.9587287560820
2019年11月17日13:50:57,37,19.247522989908900,41.21368153889970,58,4,-70.79535780997250,-503.75408656605500
2019年11月17日13:51:03,38,23.666666666666700,53.5,39,1,20.2600505628007,-483.49403600325400
2019年11月17日13:51:08,39,23.666666666666700,53.5,40,1,-10.0,-493.49403600325400
2019年11月17日13:51:17,0,26.333333333333300,57.666666666666700,33,1,-10.0,-10.0
2019年11月17日13:51:22,1,26.333333333333300,57.666666666666700,25,1,-10.0,-20.0
2019年11月17日13:51:27,2,11.333333333333300,68.66666666666670,27,1,-167.80622653073800,-187.80622653073800
2019年11月17日13:51:33,3,7.542194366455080,63.124471028645800,27,1,-58.456077922295400,-246.2623044530340
2019年11月17日13:51:39,4,7.969135920206710,64.69753011067710,58,3,-14.263016792996000,-260.5253212460300
2019年11月17日13:51:45,5,13.333333333333300,46.0,58,3,53.17746443130600,-207.34785681472300
2019年11月17日13:51:51,6,11.112744649251300,50.16666666666670,31,2,-10.0,-217.34785681472300
2019年11月17日13:51:57,7,14.333333333333300,40.5,34,1,22.329995658561500,-195.01786115616200
2019年11月17日13:52:02,8,9.103448232014980,30.166666666666700,35,1,-72.57056918054420,-267.58843033670600
2019年11月17日13:52:08,9,16.833333333333300,25.666666666666700,55,1,51.276271832241800,-216.31215850446400
2019年11月17日13:52:14,10,12.827004750569700,15.0,50,4,-59.51353071238710,-275.8256892168520
2019年11月17日13:52:20,11,10.772726694742800,26.166666666666700,52,4,11.705095722565200,-264.1205934942860
2019年11月17日13:52:27,12,15.666666666666700,25.0,32,4,64.5237367095794,-199.59685678470700
2019年11月17日13:52:43,0,12.298245747884100,22.5,36,4,-93.75942704195670,-93.75942704195670
2019年11月17日13:52:49,1,16.166666666666700,10.666666666666700,29,2,25.360327652519700,-68.39909938943690
2019年11月17日13:52:54,2,8.793103535970050,7.666666666666670,36,1,-82.12556058263690,-150.52465997207400
2019年11月17日13:53:01,3,12.273810068766300,9.00952402750651,36,4,10.574274204758500,-139.9503857673150
2019年11月17日13:53:07,4,12.795358022054000,20.666666666666700,59,4,29.971919440703500,-109.9784663266120
2019年11月17日13:53:13,5,10.89898935953780,31.16666666666670,58,2,-39.59797724264150,-149.57644356925300
2019年11月17日13:53:20,6,11.24761962890630,26.666666666666700,57,0,-10.0,-159.57644356925300
2019年11月17日13:53:26,7,31.333333333333300,44.333333333333300,57,1,197.59420698527400,38.01776341602110
2019年11月17日13:53:31,8,31.333333333333300,44.333333333333300,40,1,-10.0,28.01776341602110
2019年11月17日13:53:37,9,31.333333333333300,44.333333333333300,28,1,-10.0,18.01776341602110
2019年11月17日13:53:42,10,16.0,58.5,28,1,-167.0553926066660,-149.03762919064500
2019年11月17日13:53:48,11,12.786324818929000,53.833333333333300,27,1,-65.72395082156050,-214.76158001220500
2019年11月17日13:53:53,12,8.619496663411460,50.0,33,1,-58.93659046447540,-273.6981704766810
2019年11月17日13:53:59,13,11.45917002360030,40.69812520345050,57,1,16.43748627699520,-257.2606841996850
2019年11月17日13:54:04,14,16.0,40.333333333333300,58,1,52.101250630137500,-205.1594335695480
2019年11月17日13:54:09,15,17.333333333333300,36.5,58,1,40.87679043728460,-164.28264313226300
2019年11月17日13:54:15,16,17.666666666666700,36.333333333333300,47,1,-10.0,-174.28264313226300
2019年11月17日13:54:21,17,17.666666666666700,36.333333333333300,38,1,-10.0,-184.28264313226300
2019年11月17日13:54:26,18,17.666666666666700,36.333333333333300,35,1,-10.0,-194.28264313226300
2019年11月17日13:54:32,19,17.666666666666700,36.333333333333300,29,1,-10.0,-204.28264313226300
2019年11月17日13:54:37,20,13.010416666666700,57.666666666666700,34,1,-58.2591148127284,-262.5417579449920
2019年11月17日13:54:53,0,10.276041666666700,52.833333333333300,41,1,-42.56299931011940,-42.56299931011940
